sample_index,image_id,question,ground_truth,prediction,latency_sec
29,2410613,Is the man in the bottom part of the picture?,yes,Yes,4.338989973068237
30,2398351,Do the tennis racket and the shirt have a different colors?,yes,Yes,4.339416742324829
31,2407481,Which side is the chair on?,right,Right,4.336597919464111
32,2397982,Does the cow in front of the path look young and black and white?,yes,No,4.342206001281738
33,2396386,Does the helmet appear to be green or white?,green,White,4.340556859970093
34,2388904,On which side are the glasses?,left,Left,4.3446362018585205
35,2365742,Does the end table that is to the right of the CDs have brown color?,no,No,4.346201181411743
36,2377465,Does the bird look brown?,no,No,4.33299994468689
37,2390473,Is the fresh fruit in the top part of the picture?,no,No,4.338545083999634
38,2389362,Of which color is that hair?,gray,Blond,4.393493890762329
39,2355364,Is the vase on the right side or on the left?,right,Right,4.337139129638672
40,2352253,"How does the tall grass look, green or brown?",brown,Brown,4.3429200649261475
41,2368249,On which side of the photo is the cabinet?,right,Left,4.338302850723267
42,2345391,What is the color of the cat's fur?,orange,Orange,4.430801153182983
43,2382178,"In which part of the photo are the wood chairs, the top or the bottom?",top,Bottom,4.3908562660217285
44,2394369,What color do you think the jacket that the woman is wearing is?,red,Black,4.4351959228515625
45,2365742,What color is the chair made of plastic?,blue,Blue,4.511218786239624
46,2396174,What is the boy doing?,jumping,Skateboarding,4.788546085357666
47,2390215,Does the necktie look metallic and brown?,yes,Yes,4.855387210845947
48,2391999,On which side of the photo is the curtain?,left,Right,4.894047021865845
49,2391468,On which side is the bottle?,right,Left,4.961262941360474
50,2325505,What color are the trousers?,gray,White,5.14150595664978
51,2386438,"Who is older, the boy or the woman?",woman,Woman,5.1319990158081055
52,2357332,What is the color of the table?,tan,Brown,5.274136066436768
53,2367108,Is the food truck white or orange?,white,White,5.230702877044678
54,2388067,Does the racket have red color?,no,No,5.329674243927002
55,2389666,"On which side is the man, the right or the left?",left,Right,5.247391939163208
56,2334664,The car on the left has which color?,white,Black,5.380802869796753
57,2338258,Which side of the image is the frisbee on?,right,Right,5.295813083648682
58,2370687,On which side is the train?,left,Left,5.437440872192383
59,2327921,Is the plate empty or full?,full,Full,5.276062965393066
60,2341715,On which side of the image is the bookshelf?,right,Right,5.461645841598511
61,2345451,Which color do you think is the boat in the middle?,red,Green,5.311695098876953
62,2371,Are the oranges on the right?,no,Yes,5.543029069900513
63,2397498,Does the large chair look brown?,no,Yes,5.34355616569519
64,2323054,On which side of the picture is the chair?,left,Right,5.608381032943726
65,2395326,What color is the large cow?,brown,Brown,5.370763063430786
66,2375761,Which side is the person on?,left,Left,5.542443037033081
67,2410862,On which side of the image is the red drink?,right,Right,5.348084926605225
68,2335027,Is the radiator on the right side?,yes,Yes,5.4599409103393555
69,2415698,Does the grass look green and short?,yes,No,5.352935791015625
70,2322571,What color is the bag?,white,White,5.4591898918151855
71,2318785,Are the animals elephants?,yes,Yes,5.418905019760132
72,2392663,Does the pillow that is to the left of the other pillow seem to be round and maroon?,no,No,5.428380966186523
73,2347367,Is the coffee cup on the left of the photo?,yes,Yes,5.403207778930664
74,2338167,Is the pipe brown?,yes,No,5.428540945053101
75,2399600,What color is the shirt the lady is wearing?,black,Tan,5.495798110961914
76,2388984,On which side of the image are the cars?,left,Left,5.375193119049072
77,2385159,What is the color of the mousepad?,yellow,Yellow,5.47856593132019
78,2375091,Is the green container on the right side or on the left of the image?,left,Left,5.3486247062683105
79,2338350,What color are the pants the man wears?,orange,Black,5.4967663288116455
80,2359280,What color is the cap the coach is wearing?,blue,Blue,5.334880590438843
81,2414425,On which side of the image is the woman?,right,Right,5.52479100227356
82,2390550,What color is the tray?,black,Black,5.327741861343384
83,2343973,The outfit is of which color?,blue,Purple,5.579346179962158
84,2393273,In which part is the person?,left,Right,5.335883855819702
85,2354084,On which side of the image is the frisbee?,right,Right,5.50605583190918
86,2348437,What is the shelf made of?,glass,Tile,5.367120265960693
87,2350854,Which color is the animal in front of the fence?,brown,Brown,5.44951605796814
88,2412817,Which color does the hair have?,black,Black,5.264233112335205
89,2392049,What is the door made of?,metal,Wood,5.40090012550354
90,2388904,On which side of the photo is the bottle?,right,Right,5.29439902305603
91,2319861,Which color is the vehicle made of metal?,orange,Orange,5.43810510635376
92,2403960,Is the lamp on the right side or on the left?,left,Left,5.326535224914551
93,2358938,Is the door white and closed?,yes,Yes,5.413499116897583
94,2315486,Is the dessert to the right of the table cloth curved and red?,no,No,5.384373188018799
95,2317753,Which color is the kite on the right of the picture?,yellow,Red,5.4532787799835205
96,2396535,Does the bat that is not big have blue color?,yes,No,5.483663082122803
97,2318376,Is the frisbee round and orange?,no,No,5.4520580768585205
98,2316790,What is the color of the car on the left?,white,Black,5.5320892333984375
99,2387456,What is the sidewalk made of?,brick,Brick,5.584001779556274
100,2326180,Are the animals of the same type?,yes,Yes,5.667968988418579
101,2365213,Which side of the photo is the large picture on?,left,Left,5.4613001346588135
102,2340805,Is the green broccoli dark or light?,light,Dark,5.666823148727417
103,2403469,Are the trousers blue?,no,No,5.470104694366455
104,2334480,On which side of the picture is the plate?,right,Right,5.61854100227356
105,2357363,What is the sidewalk made of?,brick,Brick,5.548598051071167
106,2316905,What is the bottle made of?,plastic,Plastic,5.685871124267578
107,2412344,Is the brown door small or large?,large,Large,5.53288197517395
108,2417104,What color is the chair?,white,White,5.491026163101196
109,2328644,Is the shoe white or brown?,brown,Brown,5.493335962295532
110,2370948,Of what color is the sweater?,brown,Brown,5.5148186683654785
111,1159522,What do the computer desk and the chair have in common?,material,Material,5.6058268547058105
112,2371990,Is the shirt short sleeved or long sleeved?,short sleeved,Short sleeved,5.643457889556885
113,2326757,How long are the pants?,short,Short,5.6552040576934814
114,2399388,Are the floor and the door made of the same material?,no,Yes,5.44697117805481
115,2342977,Which side of the photo is the man on?,left,Right,5.635379076004028
116,2416767,What color is the oar in the center?,silver,Red,5.437294006347656
117,2402763,Is the man's hair long and brown?,no,No,5.615025758743286
118,2328812,What is the table made of?,metal,Metal,5.4749228954315186
119,3716,Does the tower seem to be white and large?,yes,No,5.607310771942139
120,2404827,Is the skateboard green?,yes,No,5.468065023422241
121,2401748,Does the pizza with the ham look small and full?,no,No,5.548701286315918
122,2359504,Does the skateboard have white color?,no,No,5.507758855819702
123,1593102,Is the bowl on the right?,no,Yes,5.558316946029663
124,2323095,Of what color is the boat in the bottom of the picture?,white,White,5.539628982543945
125,2396539,Do the flowers look orange?,no,No,5.544347286224365
126,2413471,The palm tree that is to the left of the man is which color?,yellow,White,5.63043212890625
127,2326327,What color do you think is the skateboard on the left?,brown,Yellow,5.530721187591553
128,2396884,Is the house in the top part of the photo?,no,No,5.660829305648804
129,2317841,Is the fence to the right of the people made of wood or wire?,wood,Wood,5.504899024963379
130,2405676,What color does the vehicle that is not narrow have?,orange,Orange,5.714187860488892
131,2362824,Is the scarf yellow?,yes,Yes,5.585306167602539
132,2361665,Which side of the photo is the blond woman on?,right,Left,5.728574991226196
133,2362137,Does the grass look green or brown?,green,Green,5.613562822341919
134,2347262,What is the color of the large kite?,black,Green,5.72799015045166
135,2406169,Is the white vest short sleeved or long sleeved?,short sleeved,Short sleeved,5.8923258781433105
136,2396304,Does the sky appear to be cloudy and white?,no,Yes,5.70196008682251
137,2349487,What is the ring made of?,metal,Wood,5.722587823867798
138,2364258,Is the woman on the right side of the picture?,yes,Yes,5.59769606590271
139,2398615,On which side of the image is the car?,right,Right,5.705228090286255
140,2387359,On which side of the photo is the rug?,right,Right,5.522639751434326
141,2334521,Is the wood chair on the left side?,yes,Yes,5.697893857955933
142,2318553,Is the packet in the top part?,yes,Yes,5.537248849868774
143,2384822,Which side of the picture are the dark bags on?,right,Left,5.656059265136719
144,2369526,How tall is the grass?,short,Short,5.510276794433594
145,2339466,Does the lamp shade look red?,yes,Yes,5.558831691741943
146,2316296,What is the height of the fence near the field?,short,Short,5.532333135604858
147,2374729,Which side of the picture is the couch on?,right,Right,5.524441242218018
148,2377973,How large are the leaves?,large,Small,5.5227391719818115
149,2357167,Is the sign in front of the bridge small and white?,no,No,5.442004919052124
150,2325932,Is the fence in the top or in the bottom part?,top,Top,5.636637210845947
151,2363020,What is the bag made of?,metal,Plastic,5.519795894622803
152,2363785,Does the bread that is to the right of the bowl look brown or maybe white?,brown,Brown,5.6288838386535645
153,2366401,Is the green cabbage in the bottom or in the top part of the image?,bottom,Bottom,5.508307933807373
154,2400661,What color are the small scissors?,purple,Black,5.667253017425537
155,2355417,How old is the child?,little,Young,5.5019121170043945
156,2350945,What do the number and the coat have in common?,color,Color,5.768164157867432
157,498281,Is the pillow to the left of the frog cream colored or green?,green,Cream colored,6.051345109939575
158,2403478,Do the desk and the keyboard have a different colors?,no,Yes,5.895598888397217
159,2377602,Which color does the elephant near the water have?,gray,Gray,5.759186744689941
160,2404259,Does the animal that looks white and brown look colorful?,yes,Yes,6.065997123718262
161,2401482,Does the cloud have a different color than the map?,no,No,6.586357116699219
162,2362452,That shirt has what color?,red,Red,5.811630725860596
163,2386651,Does that woman appear to be sitting?,yes,Yes,5.805453062057495
164,2388285,Does the sky look blue and clear?,no,No,5.667108058929443
165,2366127,Is the painting on the right of the picture?,yes,Yes,5.724372863769531
166,2319908,Is the sky cloudy and blue?,yes,No,5.57989501953125
167,498234,What do the sky and the fence have in common?,color,Color,5.536545991897583
168,2349504,Is the curtain to the left of the other curtain red or white?,red,Red,5.632899761199951
169,2333104,What color does the pan have?,red,Red,5.673274993896484
170,2861,What is the color of the coat?,black,Green,5.830077171325684
171,2415105,Is the laptop off or on?,on,On,5.521389007568359
172,2349159,What is the white chair made of?,metal,Plastic,5.6550452709198
173,2366832,On which side is the house?,right,Right,5.448687791824341
174,2358184,Is the field brown?,yes,No,5.6564130783081055
175,713748,Is the motorbike on the left side?,no,No,5.437898874282837
176,2386337,Is the brown sand smooth or rough?,smooth,Smooth,5.597421884536743
177,2360292,Is the bread on the right?,yes,Yes,5.409202814102173
178,2362719,The bear in the bottom of the image is of what color?,dark brown,Pink,5.509828090667725
179,2348385,Is the table large and wooden?,yes,Yes,5.444746971130371
180,1592305,Is the truck on the left?,yes,No,5.493762969970703
181,1593172,Are both the crate and the canopy the same color?,no,No,5.443414926528931
182,2352741,Is the microwave on the right side?,yes,Yes,5.449005126953125
183,2412366,Is the gray car in the top or in the bottom part?,top,Top,5.49605393409729
184,2390989,Is the cupboard large and brown?,no,No,5.459530830383301
185,2354285,Does the short grass beneath the blanket look green or brown?,green,Brown,5.546607971191406
186,2333868,Is this a silver plate?,yes,Yes,5.491634845733643
187,2371677,"On which side are the white plates, the left or the right?",right,Left,5.680275917053223
188,2391939,Does that train have yellow color?,yes,Yes,5.565279960632324
189,2400997,On which side of the picture is the orange cone?,right,Left,5.727337121963501
190,2027,Is the ottoman in the top of the photo?,no,No,5.5175862312316895
191,2399462,"Which size is the vehicle, small or large?",small,Small,5.679865837097168
192,2332903,Is the cardboard container in the top part of the image?,no,No,5.521428108215332
193,2372439,What do the door and the outfit have in common?,color,Color,5.586594104766846
194,2405354,Do the shoes look black?,yes,No,5.459996938705444
195,2976,"In which part of the picture is the dumpster, the bottom or the top?",bottom,Bottom,5.578906297683716
196,2380112,Is the vehicle to the left of the helmet small and green?,no,No,5.532346963882446
197,2374264,"In which part of the photo is the wood fence, the bottom or the top?",bottom,Bottom,5.5355048179626465
198,2380175,What color is the rope?,blue,Blue,5.551151752471924
199,2331460,On which side is the fence?,left,Right,5.457032918930054
200,2404320,On which side is the long mirror?,left,Right,5.627770900726318
201,2376749,On which side is the monitor?,left,Right,5.471421003341675
202,2393394,Do the pole and the word have the same color?,yes,No,5.6144750118255615
203,2338258,How long is the blond hair?,short,Short,5.458623886108398
204,2376818,What color is the hair?,red,Red,5.6162378787994385
205,2381305,Does the device near the book appear to be open?,no,No,5.459482192993164
206,2352259,On which side of the photo are the houses?,right,Left,5.7421088218688965
207,2344431,What are the shelves made of?,wood,Wood,5.595428943634033
208,2394454,Is the boat different in color than the vehicle?,no,Yes,5.666866064071655
209,2371768,Are the orange carrots in the top of the photo?,no,No,5.697403907775879
210,2375442,Is the cat on the left of the photo?,yes,Yes,5.603222131729126
211,2401166,Does the tire look red and large?,no,Yes,5.635158061981201
212,2383358,What color is the helmet?,black,Yellow,5.5146870613098145
213,2353576,"What was used to make the fence to the right of the guy, wood or metal?",wood,Wood,5.62215781211853
214,2349648,What is the color of the cat?,brown,Brown and white,5.574956655502319
215,2350879,Which side of the photo is the dark curtain on?,right,Left,5.695734977722168
216,2408827,"What color is the sauce above the bun, orange or white?",orange,Orange,5.510817050933838
217,2406666,Is the empty street wet or dry?,wet,Wet,5.708053827285767
218,2358894,What is the color of the shirt?,black,Black,5.5238659381866455
219,150495,On which side is the hair dryer?,right,Right,5.659404039382935
220,2391802,Do the sky and the flag have the same color?,yes,No,5.57390022277832
221,2315613,In which part is the large spoon?,left,Right,5.5975401401519775
222,498144,What color is the animal on top of the bench?,black,Black,5.63029408454895
223,2397948,Do the goggles look small or large?,large,Small,5.563173055648804
224,2388658,Do the celery and the pumpkin have the same color?,yes,No,5.735542058944702
225,2356967,What color is that sky?,gray,Gray,5.869487762451172
226,2394351,What do both the wires and the shorts have in common?,color,Color,5.89823317527771
227,2335112,What color is the vase on the left?,white,White,5.584950923919678
228,2405555,How is the water in the picture?,calm,Still,5.674704074859619
229,2406772,What is the weight of the tub?,light,Light,5.524511098861694
230,2391115,Is the bacon to the left of the chair both cooked and red?,no,No,5.666031837463379
231,2386338,Is the animal to the left of the papers orange or black?,black,Black,5.585532188415527
232,2317142,Is the car on the right side?,no,No,5.593883275985718
233,2383415,Is the snow board to the left of the skis long and brown?,no,Yes,5.570977210998535
234,2353016,What color does the dog's hair have?,blond,Brown,5.499770164489746
235,2401553,"Which material is the fence made of, wood or steel?",wood,Wood,5.557693958282471
236,2323054,Are the animals of different species?,yes,Yes,5.385116815567017
237,2361904,Are the chairs both green and empty?,yes,No,5.418926239013672
238,2380512,Is the American flag on the left part or on the right?,left,Right,5.232787132263184
239,2412,Does the sidewalk look dark?,yes,Yes,5.432568788528442
240,2384329,Is the mug full or maybe empty?,empty,Empty,5.248709201812744
241,2372240,How large is the building that is made of brick?,large,Large,5.337479114532471
242,2376684,Is the car that is to the right of the lock blue or black?,black,Blue,5.1341681480407715
243,2386299,Do the net and the bike have a different colors?,yes,Yes,5.294410943984985
244,2365078,Is the man on the right or on the left side?,right,Right,5.157708168029785
245,2386456,Does the zebra in front of the grass have black color and striped pattern?,yes,Yes,5.298464059829712
246,2408823,What is the dish made of?,porcelain,Metal,5.114794969558716
247,2324564,Is the silver device in the bottom part or in the top of the image?,bottom,Top,5.332053899765015
248,2380375,Does the white shirt look short sleeved?,yes,No,5.20003604888916
249,2353260,Is the broccoli on the right part of the photo?,yes,Yes,5.3889172077178955
250,2385164,What do you think is the color of the plate?,yellow,White,5.2704010009765625
251,2337577,Are both the wall and the floor the same color?,yes,No,5.512085914611816
252,2368361,Is the dress short and black?,yes,Yes,5.305491209030151
253,2404261,Is the color of the athletic shoe different than the paddle?,no,No,5.552250146865845
254,2385419,What color is the SUV that is on the street?,red,Red,5.418370723724365
255,2369851,What do both the backpack and the mirror have in common?,color,Color,5.604305982589722
256,2376923,Does the hair seem to be white or red?,white,White,5.505181789398193
257,2376201,"Where is the woman, in the top or in the bottom part of the picture?",top,Top,5.62928318977356
258,2401381,Does the device that is to the right of the telephone look gray and small?,no,Yes,5.52548885345459
259,2325954,Does the clock tower appear to be tan or green?,tan,Tan,5.5335822105407715
260,2372749,Is the water brown or blue?,blue,Blue,5.4653730392456055
261,2356493,What color is the tennis racket on the left?,green,Orange,5.4406421184539795
262,2364622,Does the helmet that is to the right of the man look black?,yes,No,5.47517204284668
263,2377817,Are the mountains near the station tall and grassy?,no,No,5.415464878082275
264,2417483,On which side of the photo are the small berries?,left,Left,5.520218133926392
265,2398770,Does the grass look green?,yes,Yes,5.401223182678223
266,2392303,On which side is the large clock?,right,Right,5.532639980316162
267,2389290,Is the train long or short?,long,Long,5.392209053039551
268,2412272,Do the sky and the sweater have a different colors?,yes,No,5.626482963562012
269,2392274,On which side of the picture is the napkin?,right,Right,5.431582927703857
270,2374828,Which color do you think the shirt is?,white,Gray,5.586688995361328
271,2402960,Are the cabinets brown?,yes,Yes,5.41420316696167
272,2373660,The blanket is of what color?,brown,Gray,5.5847718715667725
273,2380130,Is the pedestrian in the top part or in the bottom of the image?,bottom,Bottom,5.531760931015015
274,2320327,Is wood used to make the steering wheel?,yes,No,5.643077850341797
275,2380050,What makes up the fence that is not short?,metal,Metal,5.521057605743408
276,2417738,Which color is the striped tie?,blue,Red,5.558868169784546
277,2405223,"Which color is the bridge, gray or red?",gray,Gray,5.549379110336304
278,2334798,Does the counter look clean and black?,yes,Yes,5.493265867233276
279,2352555,Which color is the sticker?,red,Black,5.536663055419922
280,2371386,"Which material makes up that ground, stone or hardwood?",stone,Stone,5.476627826690674
281,2375479,Which company is the shoe from?,nike,Nike,5.658252954483032
282,2315727,Is the person on the left of the image?,no,No,5.4721598625183105
283,2341948,How tall is the grass surrounding the rocks?,short,Tall,5.616789102554321
284,2354925,Which color is the syrup that is to the left of the banana?,brown,Black,5.457832098007202
285,2397825,What color is the van the bicycles are to the left of?,white,White,5.668608903884888
286,2324287,What material are the blinds to the right of the other blinds made of?,metal,Metal,5.497898101806641
287,2369789,Is the fire place made of marble?,no,Yes,5.644718885421753
288,2383798,What do both the radiator and the window frame have in common?,color,Color,5.5463080406188965
289,2399031,Does the blue car appear to be driving?,no,No,5.667271852493286
290,2404437,What do the coat and the television have in common?,color,Color,5.649837970733643
291,2411612,Are the kids in the bottom part or in the top of the image?,bottom,Bottom,5.709287881851196
292,2400536,Are the floor and the shoe the same color?,no,Yes,5.73073935508728
293,2415237,Is the frisbee on the right side or on the left of the image?,right,Right,5.627718925476074
294,2387080,What color does the dog that is sitting on top of the bed have?,brown,Brown,5.733696937561035
295,2417665,Which side of the photo is the man on?,right,Left,5.563228130340576
296,2370112,Is the mousepad on the left side or on the right?,left,Left,5.769174098968506
297,2323396,Of what color are the wheels?,orange,Orange,5.619742155075073
298,2381683,Do you think the floor is clean?,no,Yes,5.7296531200408936
299,2373979,On which side of the photo is the picture?,right,Right,5.606225967407227
300,2399600,What is the man on the street doing?,walking,Talking,5.741890907287598
301,2334444,Do the trees behind the elephant look brown?,yes,No,5.701056003570557
302,2373590,What's the fence made of?,metal,Concrete,5.641434907913208
303,2397009,Is the chair on the right side of the photo?,yes,Yes,5.664828300476074
304,2357500,Are the clouds white and thin?,no,Yes,5.5325517654418945
305,2318261,Is the color of the wristwatch different than the glove?,yes,Yes,5.710999965667725
306,2317575,Does the vehicle to the right of the animals seem to be empty or full?,empty,Empty,5.584945917129517
307,2367639,Does the desk appear to be wooden and large?,no,No,5.722194194793701
308,2374331,Which color does the bike the bottle is on have?,blue,Blue,5.537691116333008
309,2373462,Which side is the curtain on?,right,Right,5.708672046661377
310,2413588,What is the color of the woman's t-shirt?,pink,Red,5.581939935684204
311,2388655,What color is the suitcase?,black,No suitcase,5.810478925704956
312,2393510,Does the frisbee to the right of the man seem to be white?,no,No,5.7241621017456055
313,2380082,Are these animals of different species?,yes,Yes,5.701081037521362
314,2392663,What color do you think the pillow on the right is?,maroon,Red,5.772831916809082
315,2360401,Do the liquid and the cup have the same color?,no,No,5.648806810379028
316,2335594,Which side is the blue painting on?,right,Left,5.787876129150391
317,2402755,Does the device on the table look black?,yes,No,5.629239082336426
318,2415826,Is the cardboard box in the bottom part or in the top of the image?,bottom,Bottom,5.887725114822388
319,2401625,What is the color of the plate the food is on?,green,Brown,5.701211929321289
320,2399079,How long are the leaves?,long,Long,5.772140979766846
321,2362155,Does the shirt look gray?,yes,Yes,5.659093856811523
322,2321647,Does the cap have pink color?,no,Yes,5.663920164108276
323,2384733,Is the tennis racket in the top part of the image?,no,No,5.640408992767334
324,2362857,Is the bag on the left side?,yes,No,5.5534889698028564
325,2320261,"What material is the glass on the table, stainless steel or plastic?",stainless steel,Stainless steel,5.7924580574035645
326,2394854,Is the camera silver or tan?,tan,Silver,5.586023807525635
327,2323848,Is the vehicle blue?,yes,No,5.671513080596924
328,2371768,Does the fruit to the right of the lemons look bright?,yes,Yes,5.462503910064697
329,2347670,Is the bag on the left?,no,No,5.619545221328735
330,2384376,"What is the container that is to the left of the pan made of, plastic or glass?",plastic,Plastic,5.5314249992370605
331,2378779,Is the water the same color as the grass?,yes,Yes,5.614544153213501
332,2327007,What is the color of the tshirt the man wears?,red,Red,5.481519937515259
333,45,Which color is the vehicle that the traffic signal is to the left of?,green,White,5.554104804992676
334,1592272,What do the car and the carriage have in common?,color,Color,5.558437824249268
335,2377214,Does the cherry in the bowl look round and red?,yes,Yes,5.568068027496338
336,2344678,Is the umbrella in the top or in the bottom part?,bottom,Bottom,5.64802098274231
337,2361918,Which color is the bus to the left of the cars?,red,Red,5.542475938796997
338,2409538,Does the giraffe's tail have blue color?,no,No,5.648709774017334
339,2399658,On which side is the white umbrella?,left,Left,5.519735813140869
340,2383086,Does the brown animal look tiny?,no,No,5.677958011627197
341,2362085,What is the color of the racket that is to the left of the man?,red,White,5.540678262710571
342,2373585,Do these animals have different types?,yes,Yes,5.839368104934692
343,2363417,Which color is the tail?,tan,Yellow,5.558786869049072
344,2358919,Does the shirt have red color?,no,No,5.640039920806885
345,2372497,Is the elephant both dirty and brown?,yes,Yes,5.533218145370483
346,2381671,Does the bird that is to the right of the purse look black?,no,No,5.602355003356934
347,2330010,On which side is the box?,right,Left,5.602785110473633
348,2350540,Which color is the dome?,black,Gold,5.577789068222046
349,2404140,Does that grass look short?,no,Yes,5.61901593208313
350,2361820,Is the water that looks murky brown and calm?,yes,Yes,5.703145980834961
351,2406339,What is the color of the baseball hat?,red,Red,5.779505014419556
352,4079,Is the phone on the left or on the right?,left,Left,5.550443887710571
353,2411681,Do the wall and the counter have a different colors?,no,No,5.688662767410278
354,2334194,On which side of the photo is the figurine?,right,Right,5.477828025817871
355,2411256,On which side of the image is the white car?,left,Right,5.563416242599487
356,2406435,"Which part of the picture is the lettuce in, the top or the bottom?",bottom,Bottom,5.4168860912323
357,2396367,Is this a blue bed?,no,No,5.422030925750732
358,2411437,On which side of the photo is the dishwasher?,right,Right,5.226202011108398
359,2408602,Are these people of the same gender?,yes,No,5.422094821929932
360,498231,On which side is the cup?,left,Left,5.193899154663086
361,2343874,Which side of the image is the yellow umbrella on?,right,Right,5.19249415397644
362,2394483,What is the color of the shoes the player is wearing?,blue,White,5.01770281791687
363,713216,Which side of the photo is the broccoli on?,right,Left,5.135416030883789
364,2329648,Is the drawing green or gold?,gold,Green,5.0796732902526855
365,2317721,What is the color of the hair?,blond,Gray,5.221314907073975
366,2357039,Is the color of the trash can different than the boot?,no,No,5.134020805358887
367,2362616,Of which color are the skis on the right of the photo?,black,White,5.224050045013428
368,2410196,Is this a large pizza?,no,No,5.094146966934204
369,2327787,Is the remote in the bottom part or in the top of the picture?,bottom,Top,5.264425992965698
370,2384502,Do the wetsuit of the man and the ocean have a different colors?,no,No,5.154925107955933
371,2368361,What color is the car that is to the left of the bag?,silver,White,5.331380128860474
372,1159352,Is this a dark brown table?,yes,No,5.231958866119385
373,2343615,On which side of the picture is the woman?,right,Left,5.368124961853027
374,2395529,Do the cap and the mask have the same color?,no,No,5.367680072784424
375,2416766,"Which part of the picture is the man in, the bottom or the top?",bottom,Bottom,5.428046226501465
376,107903,Which side is the plate on?,right,Left,5.327525854110718
377,2350204,On which side is the gray helmet?,right,Left,5.303146123886108
378,2369489,Is the entertainment center on the right side of the image?,yes,No,5.284440040588379
379,2334798,"In which part of the photo is the drawer, the top or the bottom?",bottom,Bottom,5.327887773513794
380,2408463,Does the boat near the ball look empty and red?,no,No,5.280066013336182
381,2343238,Which color is the jacket?,yellow,Gray,5.2572338581085205
382,2387380,Is that sky black?,no,No,5.293336629867554
383,1331,On which side is the chimney?,left,Left,5.304313898086548
384,2393788,What color do you think the dress the bear is wearing has?,pink,Pink,5.361150026321411
385,2317127,Does the cabinet that is to the left of the curtains look white?,yes,No,5.282499074935913
386,2388052,What color is the vehicle made of chrome?,blue,Blue,5.37574028968811
387,2355633,Is the coffee on the right?,yes,Yes,5.3030900955200195
388,2404499,Is the man's hair curly or straight?,curly,Straight,5.489128112792969
389,1159433,Of what color are the trousers that the man is in?,blue,White,5.315133810043335
390,2398067,Does the sign have the same color as the cap?,no,Yes,5.45713472366333
391,2406203,On which side of the photo is the ball?,right,Left,5.285808801651001
392,2332159,Does the backpack have blue color?,no,No,5.45635199546814
393,3314,On which side is the car?,right,Right,5.259061098098755
394,2339401,On which side of the photo is the white stove?,right,Right,5.472084999084473
395,2375841,Does the sweater seem to be blue?,no,No,5.31082010269165
396,2354656,Does the broccoli that is to the left of the carrot look purple and steamed?,no,No,5.5635552406311035
397,2371728,"Where in this photo is the woman, on the right side or on the left?",left,Right,5.406798839569092
398,2414951,Is the sheet in the bottom of the image?,no,Yes,5.530791997909546
399,2371078,Is the color of the collar different than the color of the wall?,no,No,5.369544267654419
400,2404197,Does the concrete floor look clean and pink?,yes,No,5.5224597454071045
401,2413138,Is the zebra the same color as the jacket?,no,No,5.388502836227417
402,2397397,Do the shorts look black?,no,Yes,5.447716236114502
403,2388803,Is the shoe black and white or colorful?,black and white,Colorful,5.439301013946533
404,2384182,What are the chairs made of?,plastic,Wood,5.46032190322876
405,2412198,Are the trees small or large?,large,Small,5.448509216308594
406,2335456,What do the racket and the tape have in common?,color,Color,5.460732936859131
407,2343656,Is the toilet open?,yes,No,5.482912063598633
408,2369899,"Which material is the cabinet made of, wood or glass?",wood,Wood,5.414721965789795
409,2337130,Do the sneakers look black?,no,No,5.522506952285767
