index,image_id,question,ground_truth,prediction,latency_sec,sample_index,prediction_normalized,ground_truth_normalized,exact_correct,lenient_correct
35,2365742,Does the end table that is to the right of the CDs have brown color?,no,No,5.754772186279297,35,no,no,True,True
36,2377465,Does the bird look brown?,no,No,6.613235950469971,36,no,no,True,True
37,2390473,Is the fresh fruit in the top part of the picture?,no,No,6.2230000495910645,37,no,no,True,True
38,2389362,Of which color is that hair?,gray,Blond,7.320505857467651,38,blond,gray,False,False
39,2355364,Is the vase on the right side or on the left?,right,Right,8.803944110870361,39,right,right,True,True
40,2391612,What animal is striped?,zebra,Zebra,8.659762859344482,40,zebra,zebra,True,True
41,2351458,What kind of animal is white?,horse,Horse,7.768429756164551,41,horse,horse,True,True
42,2342945,Which kind of furniture is wooden?,bed,Desk,7.264496803283691,42,desk,bed,False,False
43,2379947,What is the name of the grouped animals?,cows,Cows,6.474408149719238,43,cows,cows,True,True
44,2416156,Which kind of clothing is gray?,pants,Coat,5.2592151165008545,44,coat,pants,False,False
45,2401788,What item of furniture is it?,couch,Sofa,5.0605409145355225,45,sofa,couch,False,False
46,2386586,"What is this, a laptop or a television?",television,Television,4.894653797149658,46,television,television,True,True
47,2317649,What animal is brown?,bull,Cow,4.9403088092803955,47,cow,bull,False,False
48,2359779,Which kind of food is melted?,mozzarella,Cheese,4.891856908798218,48,cheese,mozzarella,False,False
49,2327958,What is the name of the white piece of furniture?,table,Table,4.903534173965454,49,table,table,True,True
50,2320252,What is this food called?,pastry,Salad,4.877590894699097,50,salad,pastry,False,False
51,2319473,Which kind of clothing is black?,dress,Dress,5.075313091278076,51,dress,dress,True,True
52,2415503,What kind of vehicle is green?,bus,Bus,4.982943058013916,52,bus,bus,True,True
53,2411503,Is this a couch or a desk?,desk,Desk,5.263275861740112,53,desk,desk,True,True
54,2413497,"Which type of fast food is this, a pizza or a hamburger?",pizza,Pizza,5.156657934188843,54,pizza,pizza,True,True
55,2351890,What appliance is not black?,refrigerator,Stove,5.471175193786621,55,stove,refrigerator,False,False
56,2415791,Which kind of furniture is it?,tv stand,Sofa,5.402760028839111,56,sofa,tv stand,False,False
57,2409304,What is the white animal in the image?,dog,Dog,5.52014684677124,57,dog,dog,True,True
58,2375415,Which kind of food isn't green?,lettuce,Sandwich,5.526765823364258,58,sandwich,lettuce,False,False
59,2340480,Who is dressed in white?,lady,Chef,5.586888790130615,59,chef,lady,False,False
60,2372158,Who is walking?,man,Boy,5.658705949783325,60,boy,man,False,False
61,2401489,"What animal is this, a kitten or a puppy?",kitten,Kitten,5.617635011672974,61,kitten,kitten,True,True
62,2316480,What device is in this photo?,remote control,Remote control,5.689666748046875,62,remote control,remote control,True,True
63,2321131,"Which animal is this, a cow or a sheep?",sheep,Cow,5.5698113441467285,63,cow,sheep,False,False
64,2385163,What the white piece of clothing is called?,shirt,Dress,5.829315900802612,64,dress,shirt,False,False
65,2330777,What pieces of clothing are faded?,jeans,Jeans,5.945720195770264,65,jeans,jeans,True,True
66,2413324,Which kind of appliance is it?,oven,Oven,6.017806053161621,66,oven,oven,True,True
67,2386338,"Which type of furniture is brown, the desk or the drawer?",desk,Desk,5.682476043701172,67,desk,desk,True,True
68,2406460,What items of furniture are large?,shelves,Shelves,5.615120887756348,68,shelves,shelves,True,True
69,2382016,Which kind of clothing is gray?,trunks,Uniform,5.631850957870483,69,uniform,trunks,False,False
70,2396731,Who is walking?,boy,Boy,5.478708982467651,70,boy,boy,True,True
71,2377961,"Which type of clothing is white, the hat or the dress?",hat,Hat,5.439769983291626,71,hat,hat,True,True
72,713908,Is this a desk or a cabinet?,cabinet,Cabinet,5.4600489139556885,72,cabinet,cabinet,True,True
73,2370103,What type of animal is lying?,cows,Cow,5.6043541431427,73,cow,cows,False,False
74,2350197,What vegetable is large?,onion,Pepper,5.542021036148071,74,pepper,onion,False,False
75,2334774,What clothing item is colorful?,uniform,Uniform,5.864109754562378,75,uniform,uniform,True,True
76,2383731,Is this a zebra or a horse?,horse,Horse,5.799548864364624,76,horse,horse,True,True
77,2325687,What vegetable is seasoned?,broccoli,Broccoli,5.7685277462005615,77,broccoli,broccoli,True,True
78,2330211,Is this a mirror or a couch?,couch,Couch,5.859251976013184,78,couch,couch,True,True
79,2411490,Which kind of animal is brown?,giraffe,Giraffe,5.903968095779419,79,giraffe,giraffe,True,True
80,2344870,"Which place could this be, a beach or a field?",field,Field,5.913199186325073,80,field,field,True,True
81,2370296,Which place is it?,pavement,Airport,5.831110239028931,81,airport,pavement,False,False
82,2368181,Is it outdoors?,yes,Yes,6.352725982666016,82,yes,yes,True,True
83,2398522,Which place is it?,garden,Park,7.056451082229614,83,park,garden,False,False
84,2401325,What place was the picture taken at?,road,Pavement,6.216731786727905,84,pavement,road,False,False
85,2326327,Which place is it?,park,Skate park,6.533006191253662,85,skate park,park,False,True
86,2366277,Which place could this be?,ocean,Ocean,7.137815237045288,86,ocean,ocean,True,True
87,2367303,What is the photo showing?,ocean,Beach,7.020313262939453,87,beach,ocean,False,False
88,2363548,Which place is it?,skate park,Stadium,7.089136838912964,88,stadium,skate park,False,False
89,1592132,Is it an outdoors scene?,yes,Yes,7.099534034729004,89,yes,yes,True,True
90,2352072,Where is it?,pavement,Park bench,6.927920818328857,90,park bench,pavement,False,False
91,2348998,Is it an indoors scene?,no,No,6.474604845046997,91,no,no,True,True
92,2326672,Is it an indoors scene?,no,No,5.373671293258667,92,no,no,True,True
93,2387312,How's the weather?,partly cloudy,Cloudy,5.414626121520996,93,cloudy,partly cloudy,False,False
94,2324712,What is the photo showing?,street,Road,5.56874418258667,94,road,street,False,False
95,2356440,How is the weather?,cloudy,Overcast,5.727101802825928,95,overcast,cloudy,False,False
96,2357474,What place does this represent?,highway,Road,5.500279188156128,96,road,highway,False,False
97,2325501,What place is pictured?,yard,Street,6.887402296066284,97,street,yard,False,False
98,2400971,Which place is it?,field,Field,6.984814167022705,98,field,field,True,True
99,2391816,Is it an indoors scene?,yes,Yes,7.06888222694397,99,yes,yes,True,True
100,1242,Which place is it?,shore,Sea,7.0263848304748535,100,sea,shore,False,False
101,2410304,How's the weather?,sunny,Sunny,7.1619720458984375,101,sunny,sunny,True,True
102,2378689,Which place is it?,field,Field,7.032382249832153,102,field,field,True,True
103,2328848,Is it an indoors or outdoors picture?,indoors,Indoors,6.496000051498413,103,indoors,indoors,True,True
104,2351928,Is it a garage or a parking lot?,parking lot,Parking lot,5.939407825469971,104,parking lot,parking lot,True,True
105,2323895,What place is shown?,railroad,Train station,5.5548179149627686,105,train station,railroad,False,False
106,2396882,Which place is this?,ocean,Beach,5.60093092918396,106,beach,ocean,False,False
107,2371139,Which place is it?,path,Street,5.566104888916016,107,street,path,False,False
108,2360257,Which place is it?,restaurant,Restaurant,5.8101723194122314,108,restaurant,restaurant,True,True
109,2409283,Is this a photo of a park or a farm?,park,Park,5.738142013549805,109,park,park,True,True
110,2371801,Which place is it?,parking lot,Road,6.045728921890259,110,road,parking lot,False,False
111,2355250,Could the place be the garden or maybe the zoo?,zoo,Garden,5.978317022323608,111,garden,zoo,False,False
112,2322880,Which venue is this?,lake,Park,6.566556930541992,112,park,lake,False,False
113,2355577,What is the image showing?,yard,House,6.159279108047485,113,house,yard,False,False
114,1031,How is the weather?,cloudy,Cloudy,5.877403974533081,114,cloudy,cloudy,True,True
115,2415921,Which place is it?,sidewalk,Sidewalk,6.420644044876099,115,sidewalk,sidewalk,True,True
116,2398518,Is it indoors?,no,No,6.535238742828369,116,no,no,True,True
117,2396253,How is the weather?,overcast,Cloudy,6.211665868759155,117,cloudy,overcast,False,False
118,2411522,Is it outdoors?,no,No,6.040863990783691,118,no,no,True,True
119,2366734,Which place is it?,backyard,Yard,5.9035561084747314,119,yard,backyard,False,False
120,2346709,Are there any fences or cars in this picture?,yes,Yes,6.2525739669799805,120,yes,yes,True,True
121,2317575,Do you see any empty buses?,yes,Yes,6.989559888839722,121,yes,yes,True,True
122,2348733,Is there either a white skateboard or scooter?,no,No,6.1611247062683105,122,no,no,True,True
123,2362495,Do you see any bears?,no,No,6.375872850418091,123,no,no,True,True
124,2377541,Are there dogs or fences?,yes,Yes,5.814767837524414,124,yes,yes,True,True
125,2353078,Are there utensils or cups?,no,No,5.586900949478149,125,no,no,True,True
126,2363244,Are there both laptops and pictures in this image?,no,No,5.555336952209473,126,no,no,True,True
127,2366034,Are there any white flags or pillows?,yes,Yes,6.326956033706665,127,yes,yes,True,True
128,2356402,Are there both food and wine in the scene?,yes,Yes,6.3663249015808105,128,yes,yes,True,True
129,2376612,Are there both sandwiches and hot dogs in this image?,no,Yes,7.243817329406738,129,yes,no,False,False
130,2359185,Do you see cups or knives there?,yes,Yes,6.802264213562012,130,yes,yes,True,True
131,2371945,Is there a chair or a refrigerator in this image?,yes,No,6.404781818389893,131,no,yes,False,False
132,2351386,Are there any folding chairs or skateboards?,no,No,5.486952781677246,132,no,no,True,True
133,2316535,Are there either any glasses or women in this photograph?,yes,Yes,5.623507022857666,133,yes,yes,True,True
134,2343543,Are there both boxes and donuts in the scene?,no,No,5.301242113113403,134,no,no,True,True
135,2341763,Are there chairs in the picture?,yes,Yes,5.484785079956055,135,yes,yes,True,True
136,2412806,Do you see any tan sand or grass?,yes,No,5.214391708374023,136,no,yes,False,False
137,2374021,Do you see both a television and a laptop?,yes,No,5.333637714385986,137,no,yes,False,False
138,2345161,Are there any carts or clocks?,yes,Yes,5.183058977127075,138,yes,yes,True,True
139,2362947,Are there any blinds or blankets in the picture?,yes,Yes,5.6658711433410645,139,yes,yes,True,True
140,2390473,Are there either any cabinets or chairs?,no,No,5.382995843887329,140,no,no,True,True
141,2320242,Do you see either any cabinets or dining tables?,yes,Yes,5.533175945281982,141,yes,yes,True,True
142,2325830,Are there fences or trays in the picture?,no,No,5.794985294342041,142,no,no,True,True
143,2324176,Are there both letters and buses in this image?,yes,Yes,5.440248966217041,143,yes,yes,True,True
144,2342794,Are there both stoves and towels in the photograph?,no,No,5.4630656242370605,144,no,no,True,True
145,2327387,Do you see a donut or a hamburger in the photo?,yes,Yes,5.325303077697754,145,yes,yes,True,True
146,2389990,Are there beds or cabinets in the photo?,yes,Yes,5.458176136016846,146,yes,yes,True,True
147,2362724,Do you see any blankets?,no,No,5.529484033584595,147,no,no,True,True
148,2354842,Do you see a white pillow or towel?,no,No,5.6986870765686035,148,no,no,True,True
149,2397589,Is there either a small camera or phone?,no,Yes,5.447375059127808,149,yes,no,False,False
150,2358919,Do you see buses in this photo?,yes,Yes,5.5950751304626465,150,yes,yes,True,True
151,2367978,Is there either any brown rice or soup?,no,No,5.51263689994812,151,no,no,True,True
152,2343311,Are there both mirrors and buses?,no,No,5.592822790145874,152,no,no,True,True
153,2383054,Are there any umbrellas or tennis balls in this picture?,no,No,5.547377824783325,153,no,no,True,True
154,2320767,Are there either silver objects or helmets?,yes,Yes,5.823446750640869,154,yes,yes,True,True
155,2387037,Are there either hot dogs or napkins in the picture?,yes,No,5.884493112564087,155,no,yes,False,False
156,2361696,Do you see a train or a door in the photo?,yes,Yes,6.854036092758179,156,yes,yes,True,True
157,2320520,Are there both a wine glass and a bottle in the picture?,no,No,7.430577278137207,157,no,no,True,True
158,2369303,Are there either any black windows or doors?,no,No,7.584113121032715,158,no,no,True,True
159,2375683,Do you see a brown toast or donut there?,yes,No,6.981827020645142,159,no,yes,False,False
160,2398973,What is the person in front of?,snow,Parking lot,6.180469989776611,160,parking lot,snow,False,False
161,2378087,Are there any plates to the left of the cheese pizza?,no,No,5.79466438293457,161,no,no,True,True
162,2329558,What is in the sky?,clouds,Flag,5.779462099075317,162,flag,clouds,False,False
163,347,Is the television sitting on a cabinet?,yes,No,5.5384557247161865,163,no,yes,False,False
164,2408563,Is the wine bottle to the left or to the right of the woman that is sitting-down?,right,Left,6.541359901428223,164,left,right,False,False
165,2403960,What piece of furniture has the same color as the appliance that is to the right of the cups?,office chair,Desk,5.9533679485321045,165,desk,office chair,False,False
166,2398774,What is the man in front of?,bench,Tree,5.451503038406372,166,tree,bench,False,False
167,2356740,Which kind of vegetable is on the salad?,peppers,Carrot,5.575331926345825,167,carrot,peppers,False,False
168,2355723,What vehicle is to the right of the umbrella?,car,Car,5.380255937576294,168,car,car,True,True
169,2350094,What type of furniture is to the left of the angry bird that looks angry?,chairs,Chair,6.319499969482422,169,chair,chairs,False,False
170,2334521,Which kind of vegetable is to the left of the tray?,potato,Potatoes,6.097458124160767,170,potatoes,potato,False,False
171,2393334,"What type of animal do the people that to the right of the tourists ride, elephants or giraffes?",elephants,Elephants,5.980072975158691,171,elephants,elephants,True,True
172,2413023,Which kind of vehicle is to the left of the bus?,car,Car,5.73548698425293,172,car,car,True,True
173,2361493,Which kind of furniture is to the right of the orange?,shelf,Shelf,5.621847152709961,173,shelf,shelf,True,True
174,2353910,What is on the wall?,menu,Menu,6.665831089019775,174,menu,menu,True,True
175,2407387,Who is wearing the backpack?,man,Man in front,6.308941125869751,175,man in front,man,False,True
176,2389455,What appliance is on top of the counter?,blender,Coffee maker,6.026030778884888,176,coffee maker,blender,False,False
177,2395398,Which kind of food is the bun filled with?,meat,Meat,6.7615602016448975,177,meat,meat,True,True
178,2368981,Who is wearing the dress?,people,Woman,6.77472186088562,178,woman,people,False,False
179,2383197,Is the white plate on the plastic tray?,yes,No,7.018817901611328,179,no,yes,False,False
180,2347899,What is the roof covering?,bedroom,House,6.8657567501068115,180,house,bedroom,False,False
181,2379482,What animal is drinking from the white toilet?,cat,Cat,6.443806886672974,181,cat,cat,True,True
182,1159761,What is the person to the left of the trash bin wearing?,sandal,Jeans,7.011721134185791,182,jeans,sandal,False,False
183,2393352,What is the boy holding?,trumpet,Trumpet,6.9715940952301025,183,trumpet,trumpet,True,True
184,2363225,Does the person in front of the window sit in a chair?,yes,Yes,6.860338926315308,184,yes,yes,True,True
185,2349434,Who is wearing the jacket?,man,Guy,5.78381085395813,185,guy,man,False,False
186,2342134,What appliance is to the right of the open drawer?,refrigerator,Refrigerator,5.350689888000488,186,refrigerator,refrigerator,True,True
187,2415932,The man is standing where?,ocean,Ocean,5.176275014877319,187,ocean,ocean,True,True
188,2376548,Is there a donut on the plate?,no,No,5.167521953582764,188,no,no,True,True
189,2399658,What is the item of furniture to the left of the fence that is made of wood?,table,Table,5.124521970748901,189,table,table,True,True
190,4063,What is the piece of furniture to the right of the bench that is in front of the bookshelf?,desk,Bed,5.171353101730347,190,bed,desk,False,False
191,2333425,What is on the sticker that is on the pole?,graffiti,Graffiti,5.321609973907471,191,graffiti,graffiti,True,True
192,2407846,What is the person on the field holding?,frisbee,Frisbee,5.494469165802002,192,frisbee,frisbee,True,True
193,2316465,What is under the flowers?,table,Candle,5.439618825912476,193,candle,table,False,False
194,2350772,Do you see any woman to the right of the man on the left side?,yes,Yes,5.576250076293945,194,yes,yes,True,True
195,2378976,What is under the paper paper?,table,Tablet,5.602385759353638,195,tablet,table,False,False
196,2341884,What is on the table?,utensil,Pizza,5.856600761413574,196,pizza,utensil,False,False
197,1339,What kind of food is on the plate?,rice,Chinese,5.718320846557617,197,chinese,rice,False,False
198,2352718,Who is wearing a watch?,guy,Man,5.874449729919434,198,man,guy,False,False
199,2353864,Who is waiting for the bus which is parked on the road?,passenger,People,5.8505778312683105,199,people,passenger,False,False
